batch_ID,compound_name,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,HIT_antiviral_AB_Y/N,MOA_clue_METADATA,Target_clue_METADATA,Pubchem_IsomericSMILES,Pubchem_CID
BJ1898994,crizotinib-(S),Y,Y,Y,MTH1 inhibitor,NUDT1,C[C@@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,56671814
BJ1895213,selamectin,Y,Y,N,nematocide,,C[C@H]1CC[C@]2(C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]\5[C@@]4([C@@H](C=C(/C5=N\O)C)C(=O)O3)O)C)OC6C[C@@H](C([C@@H](O6)C)O)OC)\C)O[C@@H]1C7CCCCC7,98042561
BJ1899227,7-methoxytacrine,N,Y,N,acetylcholinesterase inhibitor,ACHE,COC1=CC2=C(C=C1)N=C3CCCCC3=C2N,119053
BJ1895960,BMS-191011,N,Y,Y,potassium channel activator,KCNMA1,C1=CC(=CC=C1C2=NN(C(=O)O2)CC3=C(C=CC(=C3)Cl)O)C(F)(F)F,10474339
BJ1896003,revaprazan,N,Y,Y,potassium-competitive acid antagonist,ATP4A,CC1C2=CC=CC=C2CCN1C3=NC(=NC(=C3C)C)NC4=CC=C(C=C4)F,204104
BJ1897356,balicatib,N,Y,Y,cathepsin inhibitor,CTSK,CCCN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3(CCCCC3)C(=O)NCC#N,10201696
BJ1899046,PRT062607,Y,Y,Y,SYK inhibitor,"FGR, MAP3K9, SYK",C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,44462758
BJ1896994,TA-01,N,Y,Y,"casein kinase inhibitor, MAP kinase inhibitor","CSNK1D, CSNK1E, MAPK14",C1=CC(=C(C(=C1)F)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)F,91691129
BJ1898852,"3,4-methylenedioxy-beta-nitrostyrene",N,Y,Y,"SRC inhibitor, SYK inhibitor","SRC, SYK",C1OC2=C(O1)C=C(C=C2)/C=C/[N+](=O)[O-],672296
BJ1897693,BCX-1470,N,Y,N,"complement inhibitor, serine protease inhibitor",CFD,C1=CSC(=C1)C(=O)OC2=CC3=C(C=C2)C=C(S3)C(=N)N,9822205
BJ1896046,GANT-61,Y,Y,Y,GLI antagonist,"GLI1, GLI2",CN(C)C1=CC=CC=C1CN2CCCN(C2C3=CC=NC=C3)CC4=CC=CC=C4N(C)C,421610
BJ1896641,BMS-566419,Y,Y,Y,inosine monophosphate dehydrogenase inhibitor,"IMPDH1, IMPDH2",CCN1CCN(CC1)C2=NC=C(C=C2)C(C)(C)NC(=O)C3=C(C=C4C(=C3)NC5=CC=CC=C5C4=O)F,9913339
BJ1898028,haloprogin,Y,Y,Y,other antifungal,,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI,3561
BJ1895591,norfluoxetine,N,Y,Y,selective serotonin reuptake inhibitor (SSRI),HTR2B,C1=CC=C(C=C1)C(CCN)OC2=CC=C(C=C2)C(F)(F)F,4541
BJ1898589,rebastinib,N,Y,N,"Bcr-Abl kinase inhibitor, TIE tyrosine kinase inhibitor, VEGFR inhibitor","ABL1, BCR, FGR, FLT3, HCK, LYN, SRC",CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=C(C=C(C=C2)OC3=CC(=NC=C3)C(=O)NC)F)C4=CC5=C(C=C4)N=CC=C5,25066467
BJ1897153,BLU9931,N,Y,N,FGFR inhibitor,FGFR4,CC1=C(C(=CC=C1)NC(=O)C=C)NC2=NC=C3C=C(C=CC3=N2)C4=C(C(=CC(=C4Cl)OC)OC)Cl,72710839
BJ1896374,GNF-5837,N,Y,Y,growth factor receptor inhibitor,"NTRK1, NTRK2, NTRK3",CC1=C(C=C(C=C1)NC(=O)NC2=C(C=CC(=C2)C(F)(F)F)F)NC3=CC4=C(C=C3)/C(=C/C5=CC=CN5)/C(=O)N4,59397065
BJ1898883,VE-822,Y,Y,Y,ATR kinase inhibitor,"ATM, ATR, MTOR, PIK3CG",CC(C)S(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C3=CC(=NO3)C4=CC=C(C=C4)CNC)N,59472121
BJ1896713,axitinib,N,Y,N,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","CSF1, FLT1, FLT4, KDR, PLK4",CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,6450551
BJ1898984,ZLN005,N,Y,N,,,CC(C)(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2,899323
BJ1895019,MONENSIN SODIUM,Y,Y,Y,,,CC[C@]1(CC[C@@H](O1)[C@@]2(CC[C@@]3(O2)C[C@@H]([C@H]([C@H](O3)[C@@H](C)[C@H]([C@H](C)C(=O)O)OC)C)O)C)C4[C@H](C[C@@H](O4)C5[C@H](C[C@H]([C@@](O5)(CO)O)C)C)C,134689114
BJ1897939,harringtonine,Y,Y,Y,protein synthesis inhibitor,,CC(C)(CC[C@](CC(=O)OC)(C(=O)O[C@H]1[C@@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,72331
BJ1894548,chloroquine,N,Y,Y,antimalarial agent,MRGPRX1,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,2719
BJ1898435,metatinib,N,Y,N,Bcr-Abl kinase inhibitor,"ABL1, BCR",C1=CC(=CC=C1C2=CNC=C(C2=O)C(=O)NC3=CC(=C(C=C3)OC4=C(C(=NC=C4)N)Cl)F)F,44155856
BJ1897125,SAR405,Y,Y,N,PI3K inhibitor,PIK3C3,C[C@@H]1COCCN1C2=CC(=O)N3CC[C@H](N(C3=N2)CC4=CC(=CN=C4)Cl)C(F)(F)F,72709209
BJ1898352,curcumin,Y,Y,N,"cyclooxygenase inhibitor, histone acetyltransferase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor","APP, CA1, CA12, CA14, CA2, CA4, CA6, CA9, CHRM3, CYP3A4, DNMT3B, EP300, MMP13, MMP9, NOS2, PTGS1, PTGS2, XDH",COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,969516
BJ1894606,disulfiram,Y,Y,Y,"aldehyde dehydrogenase inhibitor, DNA methyltransferase inhibitor, TRPV agonist","ALDH2, DBH",CCN(CC)C(=S)SSC(=S)N(CC)CC,3117
BJ1895845,trequinsin,N,Y,N,phosphodiesterase inhibitor,PDE5A,CC1=CC(=C(C(=C1)C)N=C2C=C3C4=CC(=C(C=C4CCN3C(=O)N2C)OC)OC)C,5537
BJ1895283,fluoxetine,N,Y,N,selective serotonin reuptake inhibitor (SSRI),"ANO1, HTR2B, SLC6A4",CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,3386
BJ1898131,mepazine,N,Y,N,MALT1 inhibitor (JH),MALT1,CN1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,6075
BJ1898639,SCH-900776,N,Y,N,CHK inhibitor,"CDK2, CHEK1",CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)[C@@H]4CCCNC4,46239015
BJ1898590,CCT128930,N,Y,N,AKT inhibitor,,C1CN(CCC1(CC2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,17751819
BJ1894901,glafenine,N,Y,N,DeltaF508-CFTR Correctors,CFTR,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC(=CC3=NC=C2)Cl,3474
BJ1898900,P22077,Y,Y,Y,ubiquitin specific protease inhibitor,USP7,CC(=O)C1=CC(=C(S1)SC2=C(C=C(C=C2)F)F)[N+](=O)[O-],46931953
BJ1895647,tecalcet,N,Y,Y,calcium-sensing receptor agonist,CASR,C[C@H](C1=CC(=CC=C1)OC)NCCCC2=CC=CC=C2Cl,158797
BJ1895648,R-96544,N,Y,Y,serotonin receptor antagonist,HTR2A,CN1C[C@@H](C[C@H]1CCOC2=CC=CC=C2CCC3=CC(=CC=C3)OC)O,10668211
BJ1894449,kenpaullone,N,Y,N,"CDK inhibitor, glycogen synthase kinase inhibitor","CCNB1, CDK1, CDK5, GSK3B",C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br,3820
BJ1894766,promethazine,N,Y,N,histamine receptor antagonist,HRH1,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,4927
BJ1894043,A-7,N,Y,Y,calmodulin antagonist,,C1=CC2=C(C=CC=C2Cl)C(=C1)S(=O)(=O)NCCCCCCCCCCN,2735313
BJ1894657,17-hydroxyprogesterone-caproate,N,Y,N,progesterone receptor agonist,"AR, ESR1, ESR2, NR1H4, NR1I2, NR3C1, PGR",CCCCCC(=O)O[C@@]1(CCC2[C@@]1(CCC3C2CCC4=CC(=O)CC[C@]34C)C)C(=O)C,5702072
BJ1895612,AY-9944,Y,Y,Y,hedgehog pathway modulator,,C1CC(CCC1CNCC2=CC=CC=C2Cl)CNCC3=CC=CC=C3Cl,9705
BJ1896282,GW-803430,Y,Y,Y,melanin inhibitor,"KCNH2, MCHR1",COC1=C(C=CC(=C1)N2C=NC3=C(C2=O)SC(=C3)C4=CC=C(C=C4)Cl)OCCN5CCCC5,9826520
BJ1894182,bifemelane,N,Y,N,acetylcholine release enhancer,"MAOA, MAOB",CNCCCCOC1=CC=CC=C1CC2=CC=CC=C2,2377
BJ1897886,GTS21,N,Y,N,cholinergic receptor agonist,CHRNA7,COC1=CC(=C(C=C1)C=C2CCCN=C2C3=CN=CC=C3)OC,122226
BJ1896314,PhiKan-083,N,Y,Y,p53 stabilizing agent,TP53,CCN1C2=C(C=C(C=C2)CNC)C3=CC=CC=C31,4722579
