compound_name,chembl_id
CYM-5541,CHEMBL1970071
CYPROTERONE,CHEMBL142130
CYT-997,CHEMBL552212
CZC-54252,CHEMBL4303382
CZC24832,CHEMBL2064571
CaCCinh-A01,CHEMBL4104747
CaMKII-IN-1,CHEMBL1270331
"Cabotegravir (GSK744, GSK1265744)",CHEMBL2403238
Calhex-231,CHEMBL4303565
Camostat mesylate,CHEMBL85164
Carmofur,CHEMBL460499
Cefonicid (sodium),CHEMBL1201005
Cefoselis sulfate,CHEMBL4303186
Cilastatin Sodium,CHEMBL1201057
Clindamycin phosphate,CHEMBL3184512
Cyclocytidine HCl,CHEMBL1255937
D-(+)-maltose,CHEMBL1908365
D-4476,CHEMBL410456
D-64131,CHEMBL140220
D-7193,CHEMBL4303405
D-LACTITOL MONOHYDRATE,CHEMBL1200429
D-alpha-tocopheryl-succinate,CHEMBL81421
D-delta-tocopherol,CHEMBL1451395
D-phenylalanine,CHEMBL379630
D-serine,CHEMBL285123
D609,CHEMBL404954
DAA-1106,CHEMBL63064
DAPT,CHEMBL255682
DAU-5884,CHEMBL1316949
DBPR108,CHEMBL1082462
DBeQ,CHEMBL1624459
DC-260126,CHEMBL3931570
DCC-2618,CHEMBL4216467
DCEBIO,CHEMBL1255655
DCPIB,CHEMBL152557
DDR1-IN-1,CHEMBL3421914
DEXAMETHASONE SODIUM PHOSPHATE,CHEMBL2021430
DFB,CHEMBL371811
DG-172,CHEMBL2030550
DH-97,CHEMBL1327247
DHBP,CHEMBL1108
DIPT,CHEMBL4303330
DL-Adrenaline,CHEMBL1740
DMAB-anabaseine,CHEMBL1165368
DMH1,CHEMBL2385597
DMH4,CHEMBL331465
DMNB,CHEMBL1332518
DMP-543,CHEMBL343822
DMP-777,CHEMBL310871
DMPS,CHEMBL1569746
DMeOB,CHEMBL3334989
DNQX,CHEMBL155265
DPC-681,CHEMBL4303478
DPCPX,CHEMBL183
DPI-201106,CHEMBL314639
DPO-1,CHEMBL1088844
DPPE,CHEMBL2107467
DQP-1105,CHEMBL2333944
DR-2313,CHEMBL483348
DR-4485,CHEMBL348890
DRF053-(R),CHEMBL215919
DS2-(806622),CHEMBL4212818
DSR-6434,CHEMBL2315158
DU-728,CHEMBL265628
DUP-697,CHEMBL42485
DVD-111,CHEMBL4303687
DY131,CHEMBL192509
Deflazacort (Calcort),CHEMBL1201891
Dihydrotestosterone,CHEMBL27769
E-2012,CHEMBL1224151
E-4031,CHEMBL327980
E7449,CHEMBL3644587
EB-47,CHEMBL1173120
EBPC,CHEMBL269550
EC-144,CHEMBL1230584
EC-23,CHEMBL451835
EDTMP,CHEMBL1208647
EED226,CHEMBL4065484
EG00229,CHEMBL1078974
EGF816,CHEMBL3787344
EHop-016,CHEMBL3237589
EI1,CHEMBL3414574
EIPA,CHEMBL517986
EIT-hydrobromide,CHEMBL321691
ELN-441958,CHEMBL1254945
EMD-1214063,CHEMBL3402762
EMD-386088,CHEMBL364005
EMD-53998,CHEMBL314612
EMD-66684,CHEMBL289507
EN460,CHEMBL4303182
EO-1428,CHEMBL347496
EPPTB,CHEMBL1669669
EPZ-5676,CHEMBL3414626
EPZ004777,CHEMBL2169919
EPZ005687,CHEMBL3360855
EPZ011989,CHEMBL3672841
EPZ015666,CHEMBL4060831
EPZ020411,CHEMBL3589039
ER-27319,CHEMBL2170739
ER-50891,CHEMBL20066
ERK5-IN-1,CHEMBL2381340
ESI-09,CHEMBL3260990
ESTRADIOL VALERATE,CHEMBL1511
ESZOPICLONE,CHEMBL1522
ETC-159,CHEMBL3633802
