compound_name,chembl_id,morphology score,is_CP_hit
CCT018159,CHEMBL399530,0.08,False
CCT128930,CHEMBL263664,0.53,True
CCT129202,CHEMBL392525,0.47,True
CCT137690,CHEMBL1236904,0.25,False
CD-1530,CHEMBL5277896,-0.05,False
CD-437,CHEMBL1180,0.23,False
CDBA,,-0.07,False
CDK1-5-inhibitor,CHEMBL259389,-0.11,False
CDPPB,CHEMBL190270,-0.17,False
CE3F4,CHEMBL4159565,0.1,False
CEFTIOFUR HYDROCHLORIDE,CHEMBL2106486,0.16,False
CEFUROXIME SODIUM,CHEMBL2146124,0.08,False
CEP-32496,CHEMBL2029988,-0.01,False
CEP-33779,CHEMBL2062804,0.16,False
CF102,CHEMBL431733,-0.03,False
CFM-2,CHEMBL279218,0.12,False
CFTRinh-172,CHEMBL1554655,0.13,False
CG-400549,CHEMBL488937,0.07,False
CGH2466,CHEMBL1551336,0.37,False
CGK-733,CHEMBL1221601,0.05,False
CGM097,CHEMBL3601398,0.24,False
CGP-12177,CHEMBL420746,0.07,False
CGP-13501,CHEMBL1256746,0.08,False
CGP-20712A,CHEMBL280822,-0.12,False
CGP-37157,CHEMBL1495071,0.24,False
CGP-37849,CHEMBL29811,0.06,False
CGP-52411,CHEMBL268868,0.39,False
CGP-53353,CHEMBL7939,0.33,False
CGP-54626,CHEMBL2391908,-0.21,False
CGP-55845,CHEMBL455185,0.13,False
CGP-57380,CHEMBL1240885,-0.0,False
CGP-60474,CHEMBL300389,-0.16,False
