source,term,count,studies_returned,has_nextPageToken
clinicaltrials,(AY-9944) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""NPS-2143 (SB262470)""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (NPS-2143 (SB262470)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SNAP-5089""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(SNAP-5089) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PROCHLORPERAZINE EDISYLATE""[Title/Abstract] AND ""AS-1892802""[Title/Abstract])",0.0,,
clinicaltrials,(PROCHLORPERAZINE EDISYLATE) AND (AS-1892802) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""GSK2606414""[Title/Abstract] AND ""GK921""[Title/Abstract])",0.0,,
clinicaltrials,(GSK2606414) AND (GK921) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""3-CPMT""[Title/Abstract] AND ""NVP-ADW742""[Title/Abstract])",0.0,,
clinicaltrials,(3-CPMT) AND (NVP-ADW742) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""AMODIAQUINE DIHYDROCHLORIDE""[Title/Abstract] AND ""Dronedarone HCl (Multaq)""[Title/Abstract])",0.0,,
clinicaltrials,(AMODIAQUINE DIHYDROCHLORIDE) AND (Dronedarone HCl (Multaq)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""UNC0638""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(UNC0638) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""fendiline""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(fendiline) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""pifithrin-mu""[Title/Abstract] AND ""WAY-600""[Title/Abstract])",0.0,,
clinicaltrials,(pifithrin-mu) AND (WAY-600) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""UNC0638""[Title/Abstract] AND ""WAY-600""[Title/Abstract])",0.0,,
clinicaltrials,(UNC0638) AND (WAY-600) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""AS-1892802""[Title/Abstract] AND ""EHop-016""[Title/Abstract])",0.0,,
clinicaltrials,(AS-1892802) AND (EHop-016) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-216641""[Title/Abstract] AND ""PERHEXILINE MALEATE""[Title/Abstract])",0.0,,
clinicaltrials,(SB-216641) AND (PERHEXILINE MALEATE) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-216641""[Title/Abstract] AND ""Y-29794 oxalate""[Title/Abstract])",0.0,,
clinicaltrials,(SB-216641) AND (Y-29794 oxalate) AND (COVID-19 OR SARS-CoV-2),,0.0,False
