compound_identifier_used,chembl_id,direct_antiviral_score,morphology_score,antiviral_score_norm,cp_morphology_norm,integrated_score,integrated_rank,rank
CHEMBL75773,CHEMBL75773,0.0,0.45,0.0,0.6506849315068493,0.2602739726027397,207,2827.0
CHEMBL76781,CHEMBL76781,0.0,0.45,0.0,0.6506849315068493,0.2602739726027397,208,1692.0
CHEMBL3545413,CHEMBL3545413,0.1696796375454481,0.31,0.062178218306311844,0.5547945205479452,0.2592247392029652,209,169.0
CHEMBL1276308,CHEMBL1276308,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,210,295.0
CHEMBL1628565,CHEMBL1628565,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,211,3597.0
CHEMBL1738731,CHEMBL1738731,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,212,2700.0
CHEMBL21536,CHEMBL21536,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,213,905.0
CHEMBL3137336,CHEMBL3137336,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,214,1380.0
CHEMBL3426621,CHEMBL3426621,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,215,2454.0
CHEMBL351231,CHEMBL351231,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,216,2194.0
CHEMBL3991929,CHEMBL3991929,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,217,4441.0
CHEMBL4297410,CHEMBL4297410,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,218,4509.0
CHEMBL482967,CHEMBL482967,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,219,921.0
CHEMBL507100,CHEMBL507100,0.0,0.44,0.0,0.6438356164383562,0.25753424657534246,220,4889.0
CHEMBL1230609,CHEMBL1230609,0.3600144490221073,0.15,0.13192541738384728,0.4452054794520548,0.2572374422111303,221,11.0
CHEMBL1879463,CHEMBL1879463,0.4577042230404515,0.07,0.1677233256247812,0.39041095890410965,0.2567983789365126,222,58.0
CHEMBL2105759,CHEMBL2105759,0.0198399343262426,0.42,0.007270240469423349,0.6301369863013698,0.25641693880220195,223,287.0
CHEMBL1086,CHEMBL1086,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,224,2501.0
CHEMBL1489662,CHEMBL1489662,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,225,2389.0
CHEMBL16901,CHEMBL16901,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,226,2660.0
CHEMBL1708510,CHEMBL1708510,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,227,2881.0
CHEMBL178334,CHEMBL178334,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,228,633.0
CHEMBL18701,CHEMBL18701,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,229,1347.0
CHEMBL364005,CHEMBL364005,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,230,1684.0
CHEMBL375312,CHEMBL375312,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,231,1850.0
CHEMBL4303434,CHEMBL4303434,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,232,4623.0
CHEMBL4593062,CHEMBL4593062,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,233,4783.0
CHEMBL5483034,CHEMBL5483034,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,234,4956.0
CHEMBL8946,CHEMBL8946,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,235,2532.0
CHEMBL908,CHEMBL908,0.0,0.43,0.0,0.636986301369863,0.2547945205479452,236,452.0
CHEMBL56337,CHEMBL56337,0.2938348598157436,0.19,0.10767425204296686,0.4726027397260274,0.2536456471161911,237,89.0
