pair_key,name_1,name_2,target_1,moa_1,target_2,moa_2,mech_comp,external_novelty,priority_score
Imatinib Mesylate (STI571)||SGI-1027,Imatinib Mesylate (STI571),SGI-1027,ABCB1;ABCG2;ABL1;ABL2;BCR;BLK;CA1;CA12;CA14;CA2;CA3;CA6;CA7;CA9;CSF1R;CYP2C19;CYP2C8;CYP3A5;DDR1;DDR2;DDX3X;EGFR;ERBB2;FLT3;FRK;GAK;HIPK4;HTR2A;KIT;LCK;LYN;MAPK10;NQO2;NTRK1;PDGFRA;PDGFRB;PIP4K2C;RET;SLC47A1;SLC47A2;SLC6A4;TBXAS1,Bcr-Abl kinase inhibitor | KIT inhibitor | PDGFR tyrosine kinase receptor inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,4.435970353609074
CY208-243||GK921,CY208-243,GK921,CALY;CYP1A2;DRD1,dopamine receptor agonist,TGM2,transglutaminase inhibitor,1.0,1,4.088090782089698
SGI-1027||pyrintegrin,pyrintegrin,SGI-1027,,integrin signaling activator,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.914097146051735
SGI-1027||calpeptin,calpeptin,SGI-1027,CAPN1;CTSK;CTSL,calpain inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.89629138998584
Ceritinib||PERHEXILINE MALEATE,PERHEXILINE MALEATE,Ceritinib,CHRM1;CHRM3;CHRM4;CHRM5;CPT1A;CPT2;CYP2D6,carnitine palmitoyltransferase inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,3.8941783724245838
CYM-5442||SGI-1027,CYM-5442,SGI-1027,S1PR1;S1PR5,sphingosine 1-phosphate receptor agonist,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.8760650489141772
Ebastine||SGI-1027,Ebastine,SGI-1027,ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CYP2J2;CYP3A4;DRD1;DRD2;DRD3;DRD4;EGFR;FYN;HRH1;HTR1A;HTR2A;HTR2B;HTR2C;KCNH2;MLNR;SLC6A2;SLC6A3;SLC6A4;TACR2,histamine receptor antagonist,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.85459841404394
Lasofoxifene (Tartrate)||SGI-1027,Lasofoxifene (Tartrate),SGI-1027,ESR1;ESR2;HRH3;HTR2B;KCNH2;OPRK1;SLC6A3,selective estrogen receptor modulator (SERM),DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.8242752471616965
Ceritinib||Y-29794 oxalate,Y-29794 oxalate,Ceritinib,PREP,prolyl endopeptidase inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,3.740099010106454
AMG-548||SGI-1027,AMG-548,SGI-1027,MAPK11;MAPK12;MAPK13;MAPK14;MAPK9;TNF,MAP kinase inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.7251605425252903
